#       Energy(Ry)            Total                 X                  Y                   Z
      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00
      0.20000000E-03      0.36666481E-06      0.12224202E-06      0.12222017E-06      0.12220262E-06
      0.40000000E-03      0.73376576E-06      0.24462945E-06      0.24458572E-06      0.24455059E-06
      0.60000000E-03      0.11013035E-05      0.36716249E-06      0.36709684E-06      0.36704412E-06
      0.80000000E-03      0.14692785E-05      0.48984132E-06      0.48975374E-06      0.48968340E-06
      0.10000000E-02      0.18376914E-05      0.61266615E-06      0.61255660E-06      0.61246863E-06
      0.12000000E-02      0.22065428E-05      0.73563718E-06      0.73550563E-06      0.73540000E-06
      0.14000000E-02      0.25758333E-05      0.85875459E-06      0.85860102E-06      0.85847772E-06
      0.16000000E-02      0.29455635E-05      0.98201859E-06      0.98184297E-06      0.98170197E-06
      0.18000000E-02      0.33157340E-05      0.11054294E-05      0.11052317E-05      0.11050729E-05
      0.20000000E-02      0.36863453E-05      0.12289871E-05      0.12287673E-05      0.12285909E-05
      0.22000000E-02      0.40573981E-05      0.13526921E-05      0.13524501E-05      0.13522559E-05
      0.24000000E-02      0.44288930E-05      0.14765444E-05      0.14762803E-05      0.14760683E-05
      0.26000000E-02      0.48008305E-05      0.16005443E-05      0.16002580E-05      0.16000282E-05
      0.28000000E-02      0.51732112E-05      0.17246920E-05      0.17243835E-05      0.17241358E-05
      0.30000000E-02      0.55460358E-05      0.18489876E-05      0.18486569E-05      0.18483914E-05
      0.32000000E-02      0.59193049E-05      0.19734314E-05      0.19730784E-05      0.19727950E-05
      0.34000000E-02      0.62930190E-05      0.20980236E-05      0.20976483E-05      0.20973470E-05
      0.36000000E-02      0.66671787E-05      0.22227644E-05      0.22223667E-05      0.22220476E-05
      0.38000000E-02      0.70417847E-05      0.23476540E-05      0.23472339E-05      0.23468968E-05
      0.40000000E-02      0.74168375E-05      0.24726925E-05      0.24722500E-05      0.24718950E-05
      0.42000000E-02      0.77923378E-05      0.25978802E-05      0.25974153E-05      0.25970423E-05
      0.44000000E-02      0.81682861E-05      0.27232173E-05      0.27227299E-05      0.27223389E-05
      0.46000000E-02      0.85446831E-05      0.28487039E-05      0.28481941E-05      0.28477851E-05
      0.48000000E-02      0.89215294E-05      0.29743404E-05      0.29738081E-05      0.29733810E-05
      0.50000000E-02      0.92988255E-05      0.31001268E-05      0.30995719E-05      0.30991268E-05
      0.52000000E-02      0.96765722E-05      0.32260634E-05      0.32254860E-05      0.32250228E-05
      0.54000000E-02      0.10054770E-04      0.33521504E-05      0.33515504E-05      0.33510691E-05
      0.56000000E-02      0.10433419E-04      0.34783880E-05      0.34777654E-05      0.34772659E-05
      0.58000000E-02      0.10812521E-04      0.36047764E-05      0.36041311E-05      0.36036135E-05
      0.60000000E-02      0.11192076E-04      0.37313158E-05      0.37306479E-05      0.37301121E-05
      0.62000000E-02      0.11572084E-04      0.38580065E-05      0.38573158E-05      0.38567618E-05
      0.64000000E-02      0.11952546E-04      0.39848485E-05      0.39841350E-05      0.39835629E-05
      0.66000000E-02      0.12333464E-04      0.41118421E-05      0.41111059E-05      0.41105155E-05
      0.68000000E-02      0.12714836E-04      0.42389876E-05      0.42382286E-05      0.42376199E-05
      0.70000000E-02      0.13096665E-04      0.43662851E-05      0.43655032E-05      0.43648763E-05
      0.72000000E-02      0.13478950E-04      0.44937348E-05      0.44929301E-05      0.44922848E-05
      0.74000000E-02      0.13861692E-04      0.46213370E-05      0.46205094E-05      0.46198458E-05
      0.76000000E-02      0.14244892E-04      0.47490918E-05      0.47482413E-05      0.47475594E-05
      0.78000000E-02      0.14628551E-04      0.48769995E-05      0.48761260E-05      0.48754257E-05
      0.80000000E-02      0.15012669E-04      0.50050602E-05      0.50041638E-05      0.50034451E-05
      0.82000000E-02      0.15397247E-04      0.51332742E-05      0.51323548E-05      0.51316177E-05
      0.84000000E-02      0.15782285E-04      0.52616417E-05      0.52606992E-05      0.52599437E-05
      0.86000000E-02      0.16167784E-04      0.53901629E-05      0.53891973E-05      0.53884234E-05
      0.88000000E-02      0.16553744E-04      0.55188380E-05      0.55178493E-05      0.55170568E-05
      0.90000000E-02      0.16940167E-04      0.56476671E-05      0.56466554E-05      0.56458444E-05
      0.92000000E-02      0.17327053E-04      0.57766506E-05      0.57756157E-05      0.57747862E-05
      0.94000000E-02      0.17714402E-04      0.59057886E-05      0.59047305E-05      0.59038825E-05
      0.96000000E-02      0.18102215E-04      0.60350814E-05      0.60340000E-05      0.60331335E-05
      0.98000000E-02      0.18490493E-04      0.61645291E-05      0.61634245E-05      0.61625393E-05
      0.10000000E-01      0.18879236E-04      0.62941319E-05      0.62930041E-05      0.62921003E-05
      0.10200000E-01      0.19268446E-04      0.64238902E-05      0.64227390E-05      0.64218166E-05
      0.10400000E-01      0.19658122E-04      0.65538040E-05      0.65526294E-05      0.65516884E-05
