#       Energy(Ry)            Total                 X                  Y                   Z
      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00
      0.20000000E-03      0.34545057E-06      0.11526252E-06      0.11516697E-06      0.11502108E-06
      0.40000000E-03      0.69129421E-06      0.23065619E-06      0.23046497E-06      0.23017305E-06
      0.60000000E-03      0.10375314E-05      0.34618116E-06      0.34589420E-06      0.34545609E-06
      0.80000000E-03      0.13841628E-05      0.46183762E-06      0.46145480E-06      0.46087035E-06
      0.10000000E-02      0.17311887E-05      0.57762572E-06      0.57714696E-06      0.57641602E-06
      0.12000000E-02      0.20786097E-05      0.69354564E-06      0.69297083E-06      0.69209326E-06
      0.14000000E-02      0.24264264E-05      0.80959755E-06      0.80892659E-06      0.80790224E-06
      0.16000000E-02      0.27746392E-05      0.92578161E-06      0.92501442E-06      0.92384313E-06
      0.18000000E-02      0.31232486E-05      0.10420980E-05      0.10412345E-05      0.10399161E-05
      0.20000000E-02      0.34722551E-05      0.11585469E-05      0.11575869E-05      0.11561213E-05
      0.22000000E-02      0.38216594E-05      0.12751285E-05      0.12740719E-05      0.12724590E-05
      0.24000000E-02      0.41714617E-05      0.13918428E-05      0.13906897E-05      0.13889292E-05
      0.26000000E-02      0.45216628E-05      0.15086903E-05      0.15074404E-05      0.15055322E-05
      0.28000000E-02      0.48722631E-05      0.16256708E-05      0.16243241E-05      0.16222681E-05
      0.30000000E-02      0.52232630E-05      0.17427848E-05      0.17413411E-05      0.17391371E-05
      0.32000000E-02      0.55746632E-05      0.18600323E-05      0.18584916E-05      0.18561394E-05
      0.34000000E-02      0.59264642E-05      0.19774134E-05      0.19757756E-05      0.19732752E-05
      0.36000000E-02      0.62786664E-05      0.20949285E-05      0.20931934E-05      0.20905445E-05
      0.38000000E-02      0.66312704E-05      0.22125775E-05      0.22107452E-05      0.22079477E-05
      0.40000000E-02      0.69842767E-05      0.23303608E-05      0.23284310E-05      0.23254848E-05
      0.42000000E-02      0.73376858E-05      0.24482785E-05      0.24462512E-05      0.24431561E-05
      0.44000000E-02      0.76914982E-05      0.25663307E-05      0.25642058E-05      0.25609616E-05
      0.46000000E-02      0.80457145E-05      0.26845177E-05      0.26822951E-05      0.26789017E-05
